epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5877193212509155,0.7018861770629883,9.999999747378752e-06,0.6453049778938293,0.4920634925365448,0.6739130616188049,0.8275862336158752,0.9289215803146362,0.5056354999542236,0.8888888955116272,0.6666666865348816
1,0.5614035129547119,0.6098145842552185,9.999999747378752e-06,0.7304517030715942,0.4677419364452362,0.6304348111152649,0.8275862336158752,0.904411792755127,0.5120164752006531,0.8888888955116272,0.6666666865348816
2,0.6491228342056274,0.6967710852622986,9.999999747378752e-06,0.6527824997901917,0.550000011920929,0.717391312122345,0.7931034564971924,0.8725489974021912,0.5207996964454651,0.800000011920929,0.6666666865348816
3,0.640350878238678,0.7058823704719543,9.999999747378752e-06,0.6467170119285583,0.5423728823661804,0.695652186870575,0.7931034564971924,0.875,0.5261770486831665,0.800000011920929,0.6666666865348816
4,0.5526315569877625,0.6620844006538391,4.999999873689376e-06,0.6967975497245789,0.46268656849861145,0.6739130616188049,0.7241379022598267,0.8676470518112183,0.5276421904563904,0.699999988079071,0.5833333134651184
5,0.6491228342056274,0.6747123003005981,4.999999873689376e-06,0.6652592420578003,0.550000011920929,0.717391312122345,0.7241379022598267,0.8602941036224365,0.5281614661216736,0.699999988079071,0.5833333134651184
6,0.5877193212509155,0.6150895357131958,4.999999873689376e-06,0.7926322817802429,0.4912280738353729,0.6086956262588501,0.7241379022598267,0.8578431010246277,0.5277369022369385,0.699999988079071,0.5833333134651184
7,0.6491228342056274,0.7233055830001831,2.499999936844688e-06,0.6100777983665466,0.550000011920929,0.717391312122345,0.7241379022598267,0.8602941632270813,0.5268185138702393,0.699999988079071,0.5833333134651184
8,0.6140350699424744,0.6882992386817932,2.499999936844688e-06,0.6254404783248901,0.515625,0.717391312122345,0.7241379022598267,0.8602941036224365,0.5262361168861389,0.699999988079071,0.5833333134651184
9,0.5614035129547119,0.6031010150909424,2.499999936844688e-06,0.7501463890075684,0.4655172526836395,0.5869565010070801,0.7241379022598267,0.8627451062202454,0.5265321135520935,0.699999988079071,0.5833333134651184
10,0.6052631735801697,0.6643222570419312,1.249999968422344e-06,0.684515655040741,0.5102040767669678,0.54347825050354,0.7241379022598267,0.8627451062202454,0.5266919136047363,0.699999988079071,0.5833333134651184
