epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.42105263471603394,0.3801150918006897,9.999999747378752e-05,0.9098505973815918,0.34375,0.47826087474823,0.4482758641242981,0.5465686321258545,0.7008920907974243,0.4285714328289032,1.0
1,0.45614033937454224,0.43510228395462036,9.999999747378752e-05,0.9345230460166931,0.3709677457809448,0.5,0.4482758641242981,0.5416666269302368,0.6976131200790405,0.42307692766189575,0.9166666865348816
2,0.4035087823867798,0.39785805344581604,9.999999747378752e-05,0.8978034853935242,0.3103448152542114,0.3913043439388275,0.517241358757019,0.5539215803146362,0.6936217546463013,0.4545454680919647,0.8333333134651184
3,0.5438596606254578,0.5837595462799072,9.999999747378752e-05,0.7895841598510742,0.4516128897666931,0.6086956262588501,0.517241358757019,0.5392156839370728,0.6907671093940735,0.4444444477558136,0.6666666865348816
4,0.5263158082962036,0.5236573219299316,9.999999747378752e-05,0.8144904971122742,0.43103447556495667,0.54347825050354,0.5517241358757019,0.5392156839370728,0.6895522475242615,0.46666666865348816,0.5833333134651184
5,0.45614033937454224,0.4376598596572876,9.999999747378752e-05,0.9291578531265259,0.3787878751754761,0.54347825050354,0.517241358757019,0.5710784196853638,0.6873704791069031,0.4166666567325592,0.4166666567325592
6,0.44736841320991516,0.4589194357395172,9.999999747378752e-05,0.8698244690895081,0.3835616409778595,0.6086956262588501,0.6206896305084229,0.5857843160629272,0.6852959990501404,0.5555555820465088,0.4166666567325592
7,0.4736842215061188,0.5119885206222534,9.999999747378752e-05,0.8160593509674072,0.390625,0.54347825050354,0.5862069129943848,0.5808823108673096,0.6846007108688354,0.5,0.3333333432674408
8,0.5087719559669495,0.5637787580490112,9.999999747378752e-05,0.7673643827438354,0.4193548262119293,0.5652173757553101,0.5517241358757019,0.5759804248809814,0.6831445097923279,0.4285714328289032,0.25
9,0.4736842215061188,0.46163684129714966,9.999999747378752e-05,0.8827017545700073,0.37931033968925476,0.47826087474823,0.5862069129943848,0.595588207244873,0.6801836490631104,0.5,0.25
10,0.4649122953414917,0.4779411852359772,9.999999747378752e-05,0.8441656231880188,0.38461539149284363,0.54347825050354,0.5517241358757019,0.6078431010246277,0.6770990490913391,0.4285714328289032,0.25
11,0.5350877046585083,0.551630437374115,9.999999747378752e-05,0.7604491114616394,0.447761207818985,0.6521739363670349,0.5517241358757019,0.6495097875595093,0.6743532419204712,0.4285714328289032,0.25
12,0.48245614767074585,0.5057544708251953,9.999999747378752e-05,0.8202719688415527,0.4000000059604645,0.5652173757553101,0.517241358757019,0.6495097875595093,0.6719472408294678,0.375,0.25
13,0.5350877046585083,0.5348465442657471,9.999999747378752e-05,0.7991921901702881,0.4406779706478119,0.5652173757553101,0.48275861144065857,0.6470588445663452,0.6689975261688232,0.3333333432674408,0.25
14,0.5614035129547119,0.614130437374115,9.999999747378752e-05,0.7303528785705566,0.469696968793869,0.6739130616188049,0.48275861144065857,0.6495097875595093,0.6654026508331299,0.3333333432674408,0.25
15,0.5175438523292542,0.5036764740943909,9.999999747378752e-05,0.810685932636261,0.4307692348957062,0.6086956262588501,0.5517241358757019,0.6274510025978088,0.6627559065818787,0.4285714328289032,0.25
16,0.4736842215061188,0.46083757281303406,9.999999747378752e-05,0.8399752378463745,0.37037035822868347,0.43478259444236755,0.5517241358757019,0.6299019455909729,0.6606034636497498,0.4000000059604645,0.1666666716337204
17,0.5526315569877625,0.5748082399368286,4.999999873689376e-05,0.7479488849639893,0.4615384638309479,0.6521739363670349,0.5862069129943848,0.6495097875595093,0.658047616481781,0.5,0.1666666716337204
18,0.5526315569877625,0.6120524406433105,4.999999873689376e-05,0.7279324531555176,0.4590163826942444,0.6086956262588501,0.5862069129943848,0.6519607305526733,0.6556684374809265,0.5,0.1666666716337204
19,0.48245614767074585,0.5391623973846436,4.999999873689376e-05,0.7937495708465576,0.39344263076782227,0.52173912525177,0.5862069129943848,0.656862735748291,0.6534416079521179,0.5,0.1666666716337204
20,0.5789473652839661,0.5883951187133789,4.999999873689376e-05,0.7330236434936523,0.4821428656578064,0.5869565010070801,0.5862069129943848,0.6740195751190186,0.6497611403465271,0.5,0.1666666716337204
21,0.4736842215061188,0.4956841766834259,4.999999873689376e-05,0.8629294037818909,0.390625,0.54347825050354,0.6206896305084229,0.688725471496582,0.6465153098106384,0.6666666865348816,0.1666666716337204
22,0.5877193212509155,0.5933504104614258,4.999999873689376e-05,0.7416353225708008,0.4909090995788574,0.5869565010070801,0.6551724076271057,0.6985294222831726,0.6434063911437988,0.75,0.25
23,0.5964912176132202,0.6008632183074951,4.999999873689376e-05,0.7439364194869995,0.5,0.717391312122345,0.6206896305084229,0.7034313678741455,0.6411709189414978,0.6000000238418579,0.25
24,0.5,0.5212595462799072,4.999999873689376e-05,0.7963083386421204,0.41791045665740967,0.6086956262588501,0.6206896305084229,0.7083333730697632,0.6378939151763916,0.6000000238418579,0.25
25,0.5877193212509155,0.6670396327972412,4.999999873689376e-05,0.6693620085716248,0.4920634925365448,0.6739130616188049,0.6206896305084229,0.7328431606292725,0.6343477964401245,0.6000000238418579,0.25
26,0.5438596606254578,0.5923912525177002,4.999999873689376e-05,0.7350401878356934,0.453125,0.6304348111152649,0.6551724076271057,0.7352941036224365,0.6317747831344604,0.75,0.25
27,0.5263158082962036,0.5601022839546204,4.999999873689376e-05,0.755936324596405,0.4333333373069763,0.5652173757553101,0.6551724076271057,0.7279411554336548,0.6284372806549072,0.75,0.25
28,0.5526315569877625,0.6475383043289185,4.999999873689376e-05,0.6717610359191895,0.460317462682724,0.6304348111152649,0.6551724076271057,0.7524509429931641,0.6247884631156921,0.75,0.25
29,0.5701754093170166,0.6043797731399536,4.999999873689376e-05,0.7217857837677002,0.4776119291782379,0.695652186870575,0.6551724076271057,0.7745097875595093,0.6194021701812744,0.75,0.25
30,0.6228070259094238,0.7405691146850586,4.999999873689376e-05,0.6103357672691345,0.5211267471313477,0.804347813129425,0.6551724076271057,0.774509847164154,0.6166031360626221,0.75,0.25
31,0.5877193212509155,0.6497762203216553,4.999999873689376e-05,0.7148813009262085,0.4923076927661896,0.695652186870575,0.6551724076271057,0.781862735748291,0.6126174330711365,0.75,0.25
32,0.5964912176132202,0.667519211769104,4.999999873689376e-05,0.6775230169296265,0.5,0.695652186870575,0.6896551847457886,0.7916666269302368,0.6092549562454224,0.800000011920929,0.3333333432674408
33,0.5,0.5658568143844604,4.999999873689376e-05,0.7540889978408813,0.4153846204280853,0.5869565010070801,0.6896551847457886,0.7965685725212097,0.6029710173606873,0.800000011920929,0.3333333432674408
34,0.5701754093170166,0.6278772354125977,4.999999873689376e-05,0.7070339918136597,0.4761904776096344,0.6521739363670349,0.6896551847457886,0.8063725233078003,0.5990738868713379,0.800000011920929,0.3333333432674408
35,0.6228070259094238,0.6307544708251953,4.999999873689376e-05,0.704897940158844,0.523809552192688,0.717391312122345,0.6896551847457886,0.8235293626785278,0.5957586765289307,0.800000011920929,0.3333333432674408
36,0.5350877046585083,0.6061381101608276,4.999999873689376e-05,0.7310857176780701,0.447761207818985,0.6521739363670349,0.6896551847457886,0.8259804248809814,0.5928441882133484,0.800000011920929,0.3333333432674408
37,0.6228070259094238,0.658088207244873,4.999999873689376e-05,0.6884660720825195,0.5272727012634277,0.6304348111152649,0.6896551847457886,0.8357843160629272,0.587797224521637,0.800000011920929,0.3333333432674408
38,0.5964912176132202,0.6777493953704834,4.999999873689376e-05,0.6902676224708557,0.5,0.717391312122345,0.6896551847457886,0.8553921580314636,0.5816932916641235,0.800000011920929,0.3333333432674408
39,0.5789473652839661,0.6397058963775635,4.999999873689376e-05,0.7157778739929199,0.48275861144065857,0.6086956262588501,0.6896551847457886,0.8578431606292725,0.5764378905296326,0.800000011920929,0.3333333432674408
40,0.6315789222717285,0.6895779967308044,4.999999873689376e-05,0.6378973722457886,0.5344827771186829,0.6739130616188049,0.6896551847457886,0.8553921580314636,0.5738053321838379,0.800000011920929,0.3333333432674408
41,0.5877193212509155,0.6205242872238159,4.999999873689376e-05,0.7041212320327759,0.49180328845977783,0.6521739363670349,0.7241379022598267,0.8578431606292725,0.5701778531074524,0.8333333134651184,0.4166666567325592
42,0.5526315569877625,0.6492967009544373,4.999999873689376e-05,0.6913849711418152,0.4590163826942444,0.6086956262588501,0.7241379022598267,0.8455882668495178,0.5694400668144226,0.8333333134651184,0.4166666567325592
43,0.5789473652839661,0.6144500970840454,4.999999873689376e-05,0.7301708459854126,0.4833333194255829,0.6304348111152649,0.7241379022598267,0.845588207244873,0.5661634802818298,0.8333333134651184,0.4166666567325592
44,0.5526315569877625,0.6379475593566895,4.999999873689376e-05,0.6847922801971436,0.460317462682724,0.6304348111152649,0.6896551847457886,0.8504902124404907,0.5632827877998352,0.7142857313156128,0.4166666567325592
45,0.5526315569877625,0.678868293762207,2.499999936844688e-05,0.6698634028434753,0.46268656849861145,0.6739130616188049,0.6896551847457886,0.8504902124404907,0.5586726665496826,0.7142857313156128,0.4166666567325592
46,0.5789473652839661,0.5863171815872192,2.499999936844688e-05,0.7608955502510071,0.4838709533214569,0.6521739363670349,0.6896551847457886,0.8504902124404907,0.5545414686203003,0.7142857313156128,0.4166666567325592
47,0.6228070259094238,0.6751918792724609,2.499999936844688e-05,0.6489254236221313,0.5254237055778503,0.6739130616188049,0.7241379022598267,0.8602941036224365,0.5515381097793579,0.8333333134651184,0.4166666567325592
48,0.5614035129547119,0.624520480632782,2.499999936844688e-05,0.688086748123169,0.4677419364452362,0.6304348111152649,0.7241379022598267,0.8651961088180542,0.5475689172744751,0.8333333134651184,0.4166666567325592
49,0.6666666865348816,0.720588207244873,2.499999936844688e-05,0.6201597452163696,0.568965494632721,0.717391312122345,0.7586206793785095,0.8848038911819458,0.5455288290977478,0.8571428656578064,0.5
50,0.640350878238678,0.6742327213287354,2.499999936844688e-05,0.6769533753395081,0.5438596606254578,0.6739130616188049,0.7586206793785095,0.8970588445663452,0.5406642556190491,0.8571428656578064,0.5
51,0.5877193212509155,0.6400256156921387,2.499999936844688e-05,0.7007697820663452,0.49253731966018677,0.717391312122345,0.7241379022598267,0.8946078419685364,0.5372599363327026,0.75,0.5
52,0.5438596606254578,0.6429028511047363,2.499999936844688e-05,0.6889486312866211,0.4516128897666931,0.6086956262588501,0.7586206793785095,0.8946078419685364,0.5372538566589355,0.7777777910232544,0.5833333134651184
53,0.5526315569877625,0.6066176891326904,2.499999936844688e-05,0.7200765609741211,0.4576271176338196,0.5869565010070801,0.7586206793785095,0.8970588445663452,0.5335274934768677,0.7777777910232544,0.5833333134651184
54,0.5087719559669495,0.5939897298812866,2.499999936844688e-05,0.723924458026886,0.4137931168079376,0.52173912525177,0.7931034564971924,0.8946077823638916,0.5326955914497375,0.800000011920929,0.6666666865348816
55,0.6140350699424744,0.6648017764091492,2.499999936844688e-05,0.6677060127258301,0.5166666507720947,0.6739130616188049,0.7931034564971924,0.8970587849617004,0.5282827615737915,0.800000011920929,0.6666666865348816
56,0.6140350699424744,0.694373369216919,1.249999968422344e-05,0.660650908946991,0.515625,0.717391312122345,0.7931034564971924,0.9019607901573181,0.5235788822174072,0.800000011920929,0.6666666865348816
57,0.5701754093170166,0.6147698163986206,1.249999968422344e-05,0.7539160251617432,0.4761904776096344,0.6521739363670349,0.7931034564971924,0.9019607901573181,0.5229518413543701,0.800000011920929,0.6666666865348816
58,0.5087719559669495,0.6080562472343445,1.249999968422344e-05,0.7488080859184265,0.4193548262119293,0.5652173757553101,0.7931034564971924,0.906862735748291,0.5211910009384155,0.800000011920929,0.6666666865348816
59,0.6666666865348816,0.7327365875244141,1.249999968422344e-05,0.6204190254211426,0.5714285969734192,0.695652186870575,0.7931034564971924,0.906862735748291,0.5202698707580566,0.800000011920929,0.6666666865348816
60,0.6052631735801697,0.6454603672027588,1.249999968422344e-05,0.6892452836036682,0.5074626803398132,0.739130437374115,0.7931034564971924,0.906862735748291,0.5199659466743469,0.800000011920929,0.6666666865348816
61,0.5438596606254578,0.6560102701187134,1.249999968422344e-05,0.6617803573608398,0.44999998807907104,0.5869565010070801,0.7931034564971924,0.9019608497619629,0.5214979648590088,0.800000011920929,0.6666666865348816
62,0.5526315569877625,0.5960677862167358,1.249999968422344e-05,0.7454213500022888,0.4590163826942444,0.6086956262588501,0.8275862336158752,0.906862735748291,0.5196856260299683,0.8888888955116272,0.6666666865348816
63,0.6315789222717285,0.6943734288215637,1.249999968422344e-05,0.6550870537757874,0.5370370149612427,0.6304348111152649,0.7931034564971924,0.9019607901573181,0.5201618075370789,0.800000011920929,0.6666666865348816
64,0.5964912176132202,0.6585677266120911,6.24999984211172e-06,0.6799615621566772,0.5,0.5869565010070801,0.7931034564971924,0.9019608497619629,0.5207480788230896,0.800000011920929,0.6666666865348816
65,0.6754385828971863,0.7436060905456543,6.24999984211172e-06,0.594145655632019,0.5737704634666443,0.760869562625885,0.7931034564971924,0.906862735748291,0.5175096392631531,0.800000011920929,0.6666666865348816
66,0.6666666865348816,0.7119565010070801,6.24999984211172e-06,0.6311799883842468,0.5666666626930237,0.739130437374115,0.8275862336158752,0.9117647409439087,0.5154727697372437,0.8888888955116272,0.6666666865348816
67,0.5350877046585083,0.615888774394989,6.24999984211172e-06,0.7377398014068604,0.446153849363327,0.6304348111152649,0.8275862336158752,0.9093137383460999,0.5166352391242981,0.8888888955116272,0.6666666865348816
68,0.6315789222717285,0.6281969547271729,6.24999984211172e-06,0.7187628746032715,0.5322580933570862,0.717391312122345,0.8275862336158752,0.9117647409439087,0.5134429931640625,0.8888888955116272,0.6666666865348816
69,0.5877193212509155,0.6349104642868042,6.24999984211172e-06,0.7036974430084229,0.49152541160583496,0.6304348111152649,0.7931034564971924,0.9215686321258545,0.5103065371513367,0.800000011920929,0.6666666865348816
70,0.6140350699424744,0.7325767278671265,6.24999984211172e-06,0.6276651620864868,0.5161290168762207,0.695652186870575,0.8275862336158752,0.9215686321258545,0.5082891583442688,0.8888888955116272,0.6666666865348816
71,0.6140350699424744,0.6601662635803223,6.24999984211172e-06,0.6865562796592712,0.5192307829856873,0.5869565010070801,0.8275862336158752,0.9191176891326904,0.5058265328407288,0.8888888955116272,0.6666666865348816
72,0.6666666865348816,0.7376918196678162,6.24999984211172e-06,0.6248083710670471,0.5666666626930237,0.739130437374115,0.8275862336158752,0.9215686321258545,0.5024139881134033,0.8888888955116272,0.6666666865348816
73,0.5964912176132202,0.6529731154441833,6.24999984211172e-06,0.6757972240447998,0.5,0.6086956262588501,0.8275862336158752,0.9215686321258545,0.5010607242584229,0.8888888955116272,0.6666666865348816
74,0.5964912176132202,0.6715153455734253,6.24999984211172e-06,0.6563540101051331,0.5,0.6521739363670349,0.8275862336158752,0.9215686321258545,0.49959859251976013,0.8888888955116272,0.6666666865348816
75,0.5701754093170166,0.6566495895385742,3.12499992105586e-06,0.6592397093772888,0.4776119291782379,0.695652186870575,0.8275862336158752,0.9191176891326904,0.49915674328804016,0.8888888955116272,0.6666666865348816
76,0.640350878238678,0.6695971488952637,3.12499992105586e-06,0.6765987277030945,0.5396825671195984,0.739130437374115,0.8275862336158752,0.9191176891326904,0.4982875883579254,0.8888888955116272,0.6666666865348816
77,0.640350878238678,0.6847826242446899,3.12499992105586e-06,0.650790810585022,0.5438596606254578,0.6739130616188049,0.8275862336158752,0.9240196347236633,0.49738556146621704,0.8888888955116272,0.6666666865348816
78,0.6228070259094238,0.6948529481887817,3.12499992105586e-06,0.6501306891441345,0.5254237055778503,0.6739130616188049,0.8275862336158752,0.9240196347236633,0.496731162071228,0.8888888955116272,0.6666666865348816
79,0.6052631735801697,0.604219913482666,3.12499992105586e-06,0.7213162779808044,0.5090909004211426,0.6086956262588501,0.8275862336158752,0.9240195751190186,0.4991084039211273,0.8888888955116272,0.6666666865348816
